City	lat	lon
Москва	55.7522200	37.6155600
Санкт-Петербург	59.8944400	30.2641700
Новосибирск	55.0411100	82.9344400
Екатеринбург	56.8575000	60.6125000
Нижний Новгород	56.3286700	44.0020500
Самара	53.2000000	50.1500000
Казань	55.7877000	49.1248000
Омск	55.0000000	73.4000000
Челябинск	55.1544400	61.4297200
Ростов-на-Дону	47.2363900	39.7138900
Уфа	54.7750000	56.0375000
Волгоград	48.8047200	44.5858300
Пермь	58.0000000	56.2500000
Красноярск	56.0097200	92.7916700
Воронеж	51.6699000 	39.1922700
Якутск	62.03389	129.7330600
Хабаровск	48.48271	135.0837900
Анадырь	64.73424	177.5103000
Чита	52.0317100	113.5008700
Салехард	66.5300000	66.6019400
Нарьян- Мар	67.6386900	53.0037100
